C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_11_165.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_11_165.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_11_165.jpg,0,0,0,25.42407
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_11_241.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_11_241.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_11_241.jpg,0,0,0,25.21864
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_11_311.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_11_311.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_11_311.jpg,0,0,0,25.06537
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_11_393.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_11_393.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_11_393.jpg,0,0,0,24.86247
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_11_476.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_11_476.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_11_476.jpg,0,0,0,24.66122
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_11_560.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_11_560.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_11_560.jpg,0,0,0,24.41173
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_11_643.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_11_643.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_11_643.jpg,0,0,0,24.21385
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_11_727.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_11_727.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_11_727.jpg,0,0,0,24.01755
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_11_810.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_11_810.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_11_810.jpg,0,0,0,23.82244
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_11_893.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_11_893.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_11_893.jpg,0,0,0,23.6279
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_11_979.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_11_979.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_11_979.jpg,0,0,0,23.43501
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_060.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_060.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_060.jpg,0,0,0,23.19592
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_145.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_145.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_145.jpg,0,0,0,23.00524
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_228.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_228.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_228.jpg,0,0,0,22.816
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_310.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_310.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_310.jpg,0,0,0,22.6283
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_393.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_393.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_393.jpg,-0.15,0,0,22.43513
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_477.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_477.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_477.jpg,-0.35,0.2494066,0,22.30956
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_559.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_559.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_559.jpg,-0.5500001,0.4951454,0,22.35941
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_641.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_641.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_641.jpg,-0.8000001,0.7420473,0,22.60695
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_723.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_723.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_723.jpg,-0.6852117,0.9854804,0,23.11156
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_803.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_803.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_803.jpg,-0.444461,1,0,23.92205
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_884.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_884.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_884.jpg,-0.1990501,1,0,24.73532
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_12_964.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_12_964.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_12_964.jpg,0.0340372,1,0,25.48419
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_13_044.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_13_044.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_13_044.jpg,0.2340372,1,0,26.17621
C:\Users\Qiming\Documents\IMG\center_2017_03_01_13_53_13_125.jpg,C:\Users\Qiming\Documents\IMG\left_2017_03_01_13_53_13_125.jpg,C:\Users\Qiming\Documents\IMG\right_2017_03_01_13_53_13_125.jpg,0.4340372,1,0,26.78883
